시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
인천광역시,미추홀구,문학동,2024,2467,431,29635,9805,52502,19703,139366,49308,133043,79380,86617,47957,65438,42295,61064,47175,63915,59503,63096,64341,58511,63852,74376,93378,77235,106259,71061,123204,68404,139127,46565,111485,36326,90841,49563,82187,38277,70479,8899,32276,920,6829,27,1091,0,2,0,0
인천광역시,미추홀구,숭의동,2024,2829,820,49885,36520,96880,95066,206034,186118,248736,295191,161152,168222,150866,149442,149768,137862,158835,149139,155785,158365,153765,153750,174378,178880,198368,197853,209046,216538,235990,241637,138126,170583,99689,129098,90904,117121,67553,95256,27528,47922,1766,2733,1,985,0,109,0,0
인천광역시,미추홀구,용현동,2024,12576,970,299748,115213,641712,332807,1309655,626027,1310113,1090454,809596,725852,740073,706636,779880,663103,826415,745732,830590,764146,830016,754493,974010,858843,1073715,990706,1128573,1148827,1107061,1354847,693956,951684,566761,721576,521814,663968,441193,574308,195370,358329,10920,50046,663,4205,4,129,0,0
인천광역시,미추홀구,주안동,2024,19528,725,720779,388052,1338617,789119,2867041,1537984,2979568,2554830,1891918,1798271,1653790,1509479,1728702,1544998,1885751,1695422,1836703,1746433,1756969,1744455,1969882,1980370,2168106,2253981,2353452,2554062,2443373,3063554,1662927,2327664,1272922,1553759,1159822,1391033,945454,1170562,522983,723844,85072,205612,626,5988,59,1719,0,5
인천광역시,미추홀구,학익동,2024,4642,1445,113096,48267,216997,102723,404283,197311,431553,452260,284199,269733,273720,246311,291618,216330,321423,254583,313128,267717,296709,255376,393604,314267,414327,339150,398803,371272,346004,393952,191856,315555,165970,230384,157156,211254,104790,187646,51829,110560,6344,38737,465,7079,7,2122,0,0
인천광역시,부평구,갈산동,2024,5053,656,286452,87953,543808,265186,1303958,669367,1283714,1315809,707908,577129,534038,386931,529075,414742,572579,470095,558169,481466,521551,478631,588423,551231,641355,645879,902447,883837,1154129,1270643,571985,990701,449549,639701,388767,518992,272927,437651,137928,282024,22557,101864,767,8883,43,128,0,0
인천광역시,부평구,구산동,2024,660,2176,7203,22056,16937,36644,36410,85924,42867,135510,26267,64726,22704,43787,26144,37695,32059,40674,26518,46008,28968,37477,39738,38690,46432,42845,75193,47125,55700,51784,25363,46862,21037,39258,21901,31935,15679,27721,11317,17176,3526,4907,1318,2096,1,9,8,0
인천광역시,부평구,부개동,2024,31653,2588,200960,49603,366115,115311,848468,287149,780891,482618,475207,241315,365306,222784,350915,245433,363058,287013,355205,299617,319992,320272,399717,408426,418306,482906,381487,566127,392345,716499,270097,610364,188193,401840,161820,365515,119071,310046,67377,199130,9380,44269,705,2985,3,30,0,1
인천광역시,부평구,부평동,2024,160584,38967,719467,318720,1187233,690322,2664483,1364198,2756550,2366212,1758606,2080201,1555775,1742377,1669358,1826129,1823794,2004933,1893561,2168204,1927414,2100796,2235248,2176142,2396326,2426396,2525409,2859379,2568643,3565897,1894851,2606858,1593479,1639194,1499389,1424033,1285303,1151120,705548,699529,131710,216986,17688,26453,73,132,1906,599
인천광역시,부평구,산곡동,2024,24112,5197,285691,98673,692122,263296,1519280,594069,1505808,905076,809212,479235,646213,405533,651444,449888,675379,485095,652508,513069,588252,529898,675548,667941,740554,767832,776809,973620,785213,1260479,563938,1042258,385767,687871,346401,594921,264640,535208,137138,318548,26387,101422,4920,18620,78,222,3123,171
인천광역시,부평구,삼산동,2024,13927,1909,149469,36670,343337,94666,849079,216241,810199,399316,452964,218937,350668,193040,342268,211345,354468,246502,334603,275437,303046,278205,339346,339813,371465,404172,351100,511270,351972,716577,216149,600049,161439,398858,150789,353719,113586,326917,50804,216008,5489,60783,442,3016,4,10,1,1
