시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
경기도,양주시,덕계동,2023,6676,436,75129,30149,231395,111637,383413,158609,394874,260555,228240,145725,187501,115099,179450,121229,167297,128203,169427,138970,157210,142200,183717,184443,216459,209929,226232,275299,197530,304609,133221,293857,88818,186959,75305,168205,54879,135400,25700,86956,8840,29693,2649,3241,965,1858,825,743
경기도,양주시,덕정동,2023,5816,192,76992,48543,193620,160657,400869,300161,471130,467781,297658,284813,237579,212311,238252,213737,256879,241670,276047,248826,247540,233208,290628,286468,330629,320947,383357,399890,381680,407636,254240,354544,183832,233452,151435,204159,112955,170026,58660,117202,15879,46547,1402,7330,103,1059,0,0
경기도,양주시,마전동,2023,135,2388,346,4756,1122,16240,2518,40973,6965,56730,8317,25083,8382,18863,9795,13925,6208,12962,9792,13205,10873,11578,11492,11832,11096,11929,13672,11135,29105,9930,6885,6472,4876,4444,3409,3596,2029,2488,652,1589,265,809,165,151,38,45,15,23
경기도,양주시,만송동,2023,11,107,6901,2437,27548,12953,59113,28321,84558,69477,55325,43355,46518,34682,38742,33498,44690,40398,44247,42928,43416,45545,55375,57750,68621,69227,72130,78055,59293,83842,44015,92727,37415,79206,34202,64379,30694,63018,19370,53773,10574,26082,1336,4996,0,0,0,0
경기도,양주시,백석읍,2023,7406,58,26578,6351,54409,29407,133839,60899,181238,150793,115910,68308,101347,60363,93319,63134,88870,62262,90038,72271,88127,77064,98687,97224,97908,105490,120976,121450,104748,132114,60922,117928,42570,85610,30828,68822,19730,57747,10020,35656,3651,20687,143,1795,0,0,0,0
경기도,양주시,봉양동,2023,80,2,1353,111,3633,3633,5661,18259,7120,21587,4931,7290,3831,4117,3793,3228,4349,2962,4937,3698,5105,3538,5264,3802,6900,5279,18549,7253,14496,6101,5502,4501,2254,4324,2453,2260,416,945,192,195,43,110,22,56,23,31,23,14
경기도,양주시,산북동,2023,121,56,3805,1749,6957,6015,14213,14591,17706,25374,11787,11294,10984,11304,11581,10179,10756,10575,12144,11275,11538,8961,11194,9313,12388,9343,14879,10007,12084,10565,4688,9674,3379,6034,2597,6092,1613,4581,735,2717,298,988,99,143,47,87,7,243
경기도,양주시,삼숭동,2023,12945,143,27956,5209,74367,11885,137076,42662,181177,126838,98057,49130,81985,40232,79636,42493,82788,53240,77274,59204,70892,68240,96143,89637,100170,109245,94384,118786,70561,124981,44371,118591,33091,93335,28465,78954,17840,68744,5341,42414,1704,25214,455,3416,0,1,0,0
경기도,양주시,어둔동,2023,90,3,115,655,553,1013,735,1528,1727,2079,1835,2190,1779,2381,1834,2189,1976,2422,2105,1812,2264,1717,2170,1766,2138,1942,2383,1923,1619,1825,1012,1428,680,866,405,698,171,576,89,333,26,167,0,3,0,0,0,0
경기도,양주시,옥정동,2023,10043,1092,68985,10516,173407,39099,248833,78021,246166,163311,147690,95763,128558,83664,125647,84685,120323,97837,118127,115708,113905,123774,133599,151102,161665,190119,163021,227611,140398,247039,103774,254864,92370,196202,92233,149628,86379,137495,42078,97501,13802,50251,1655,9119,57,42,0,0
경기도,양주시,유양동,2023,0,0,1058,2552,1546,4171,3330,11172,4290,15360,4605,10862,3709,7355,4606,6239,5370,5636,6198,6072,6400,5502,7694,6230,7451,6571,7902,7644,8652,6781,3987,5671,3404,4263,1864,3517,726,3317,364,1656,199,975,5,113,0,0,0,0
경기도,양주시,율정동,2023,4482,177,10544,2934,31598,8554,46741,22808,56147,28960,39488,14428,28393,13711,24315,13905,24846,17673,23548,17323,22544,19663,25237,25978,28272,30418,24498,33830,23146,37571,12924,34542,7419,27696,7541,19953,4313,16831,2054,10780,762,5713,213,1033,2,7,0,0
경기도,양주시,은현면,2023,2,3,466,2970,11092,18790,22743,46918,31333,78730,20996,62990,21070,32204,27983,22657,26072,18462,38253,26084,36304,20278,44407,18316,48313,17715,59365,22536,55577,25804,21838,19928,10071,15845,5175,9998,1688,5734,531,4191,468,84,11,9,2,4,1,0
경기도,양주시,장흥면,2023,4570,194,16525,3920,44025,28367,82567,67199,102418,100787,79833,72917,56138,59539,55660,56985,59594,51834,58985,50776,64094,48561,71033,57119,88193,71590,86138,73308,69746,64898,44930,73558,40968,57500,28373,41175,14472,39105,5569,25228,758,8380,13,26,0,10,0,0
경기도,양주시,회암동,2023,4,25,9,208,984,1069,1230,2557,841,2353,957,1165,895,1038,911,1437,354,1142,786,787,846,1541,714,1547,789,1569,1058,1706,1072,1589,513,1926,246,982,278,1065,189,471,46,261,15,141,5,73,1,21,0,0
경기도,양주시,회정동,2023,2375,505,6210,5318,19848,16231,44031,23927,60252,47409,33931,40285,28254,32859,28562,33463,30840,36220,35475,39502,36676,37656,40717,44922,46692,47726,50034,46261,53287,49749,34186,39098,23573,30398,32789,23665,8124,19989,3116,11894,2073,4078,1276,1434,681,1243,199,571
